Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist;RPalmPosition_x;RPalmPosition_y;RPalmPosition_z;RIsPinchGrabbing;RIsPalmGrabbing;RIsAutogripGrabbing;RStrengthThumbIndex;RStrengthThumbMiddle;RStrengthThumbRing;RStrengthThumbPinky;RStrengthPalmIndex;RStrengthPalmMiddle;RStrengthPalmRing;RStrengthPalmPinky;RGrabIdentifier;RMovedCorrectly;LPalmPosition_x;LPalmPosition_y;LPalmPosition_z;LIsPinchGrabbing;LIsPalmGrabbing;LIsAutogripGrabbing;LStrengthThumbIndex;LStrengthThumbMiddle;LStrengthThumbRing;LStrengthThumbPinky;LStrengthPalmIndex;LStrengthPalmMiddle;LStrengthPalmRing;LStrengthPalmPinky;LGrabIdentifier;LMovedCorrectly;
475;0.0800;-0.0203;1.2369;-0.0084;4.6124;351.8018;3.2088;True;True;0.0276;0.9353;0.3623;10.2493;69.9521;345.3691;0.1027;-0.0857;-0.4804;0.0000;True;True;-0.0761;0.6690;0.0762;302.3728;73.3378;224.1892;-0.0013;0.0006;0.0041;0.0000;-0.0120;0.6178;0.1455;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
480;0.1600;-0.0199;1.2370;-0.0092;4.5952;351.9420;3.2197;True;True;0.0327;0.9283;0.3261;11.2201;67.7385;344.5186;0.0272;-0.2752;-0.7722;0.0000;True;True;-0.0762;0.6700;0.0765;302.8724;72.3418;225.4313;-0.0119;0.0145;-0.0035;0.0000;-0.0123;0.6170;0.1449;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
485;0.2400;-0.0187;1.2372;-0.0101;4.3856;351.9492;3.5054;True;True;0.0366;0.9177;0.2821;12.2754;64.7401;342.7641;0.0010;-0.2523;-0.2334;0.0000;True;True;-0.0764;0.6697;0.0767;302.8247;72.9196;224.9599;0.0046;-0.0116;0.0097;0.0000;-0.0126;0.6174;0.1450;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
490;0.3200;-0.0168;1.2365;-0.0113;4.5855;352.1778;3.4563;True;True;0.0470;0.8830;0.2544;12.1789;59.4965;342.8340;0.0872;-0.2883;-0.4624;0.0000;True;True;-0.0766;0.6695;0.0764;302.9302;74.6703;223.1987;0.0010;-0.0004;-0.0003;0.0000;-0.0126;0.6178;0.1453;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
495;0.3800;-0.0149;1.2364;-0.0121;4.7731;352.3909;3.3620;True;True;0.0489;0.8531;0.2227;15.6158;57.0885;344.5724;0.2095;-0.7869;-0.6034;0.0000;True;True;-0.0770;0.6675;0.0770;302.3658;76.4666;221.7908;-0.0214;-0.0200;0.0012;0.0000;-0.0123;0.6166;0.1461;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
500;0.4600;-0.0132;1.2355;-0.0138;5.5550;352.6915;3.2209;True;True;0.0619;0.8015;0.2036;22.7527;55.0689;347.8798;0.0693;-0.5407;-0.1506;0.0000;True;True;-0.0771;0.6682;0.0774;303.8015;78.4131;221.0308;0.0014;0.0017;0.0164;0.0000;-0.0118;0.6165;0.1448;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
505;0.5200;-0.0116;1.2345;-0.0150;5.9471;352.7351;3.0836;True;True;0.0667;0.7666;0.1550;30.1300;56.1265;350.5063;0.1812;-0.5717;-0.9645;0.0000;True;True;-0.0774;0.6680;0.0780;302.7250;77.7052;221.7834;0.0025;0.0053;-0.0019;0.0000;-0.0112;0.6171;0.1455;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
520;0.7200;-0.0022;1.2287;-0.0185;8.9224;353.5650;2.4988;True;True;0.0945;0.6386;0.0714;52.3509;76.0001;12.9988;0.0370;-0.1271;-0.1455;0.0000;True;True;-0.0796;0.6654;0.0775;302.9257;91.8242;209.2668;0.0096;0.0081;0.0031;0.0000;-0.0096;0.6219;0.1462;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
530;0.8600;0.0050;1.2246;-0.0234;11.4069;354.8532;1.9627;True;True;0.0912;0.6734;0.1027;51.8115;78.2832;14.1176;-0.0303;0.0397;0.1181;0.0000;True;True;-0.0784;0.6688;0.0758;299.0720;87.9785;213.4235;-0.0006;0.0356;-0.0047;0.0000;-0.0058;0.6256;0.1426;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
540;1.0000;0.0071;1.2172;-0.0262;14.7266;354.6818;1.9570;True;True;0.0926;0.6602;0.0947;54.7608;77.7441;17.0560;-0.0344;-0.0011;-0.0330;0.0000;True;True;-0.0794;0.6668;0.0745;300.1079;86.8506;211.9026;-0.0125;-0.0075;-0.0290;0.0000;-0.0099;0.6258;0.1461;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
