Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist;RPalmPosition_x;RPalmPosition_y;RPalmPosition_z;RIsPinchGrabbing;RIsPalmGrabbing;RIsAutogripGrabbing;RStrengthThumbIndex;RStrengthThumbMiddle;RStrengthThumbRing;RStrengthThumbPinky;RStrengthPalmIndex;RStrengthPalmMiddle;RStrengthPalmRing;RStrengthPalmPinky;RGrabIdentifier;RMovedCorrectly;LPalmPosition_x;LPalmPosition_y;LPalmPosition_z;LIsPinchGrabbing;LIsPalmGrabbing;LIsAutogripGrabbing;LStrengthThumbIndex;LStrengthThumbMiddle;LStrengthThumbRing;LStrengthThumbPinky;LStrengthPalmIndex;LStrengthPalmMiddle;LStrengthPalmRing;LStrengthPalmPinky;LGrabIdentifier;LMovedCorrectly
3400;0.1600;-0.0629;12.118;0.0020;153.902;3.435.523;60.159;True;True;-0.0917;0.9109;0.1643;144.075;429.964;3.388.229;0.1795;0.0545;-0.3491;0.0000;True;True;-0.0853;0.6754;0.0965;3.111.967;808.260;2.245.451;-0.0007;-0.0203;0.0185;0.0000;-0.0211;0.6127;0.1546;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
3410;0.3000;-0.0611;12.128;-0.0003;143.283;3.436.713;64.708;True;True;-0.0279;0.8610;0.1093;300.816;170.489;3.476.086;0.3020;-0.5706;-0.0503;0.0000;True;True;-0.0928;0.6791;0.0905;3.139.648;806.840;2.268.084;-0.0735;-0.0681;-0.0349;0.0000;-0.0287;0.6125;0.1458;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
3415;0.3600;-0.0583;12.136;-0.0015;141.177;3.439.901;66.435;True;True;0.0065;0.8161;0.0953;369.469;166.579;3.590.842;0.7735;-10.071;-0.3817;0.0000;True;True;0.0000;0.0000;0.0000;0.0000;900.000;1.800.000;0.0000;0.0000;0.0000;0.0000;-0.0314;0.6097;0.1439;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
3420;0.4400;-0.0546;12.149;-0.0020;134.558;3.441.410;67.232;True;True;0.0472;0.7546;0.0805;440.971;279.961;83.639;0.5015;-0.5524;-0.0311;0.0000;True;True;-0.1110;0.7641;0.0386;3.425.481;1.010.019;1.866.411;0.8029;-0.0128;0.3121;0.0000;-0.1071;0.7153;0.1258;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
3425;0.5000;-0.0504;12.165;-0.0028;127.695;3.435.036;65.322;True;True;0.0840;0.7346;0.0755;523.391;468.478;178.588;0.5413;-0.5334;0.1046;0.0000;True;True;-0.0524;0.7497;0.0607;3.156.244;1.078.479;1.976.487;-0.0085;-0.6696;-0.2378;0.0000;0.0196;0.7120;0.1351;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
3430;0.5800;-0.0467;12.188;-0.0049;119.337;3.413.993;54.944;True;True;0.1115;0.7036;0.0692;609.048;598.482;176.152;0.1804;-0.3575;-0.2023;0.0000;True;True;-0.0640;0.7378;0.0612;3.259.872;1.036.949;1.987.948;-0.0979;0.0770;0.2314;0.0000;-0.0068;0.6813;0.1304;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
3435;0.6400;-0.0426;12.207;-0.0078;113.580;3.395.334;44.822;True;True;0.1213;0.6902;0.0624;646.937;766.568;204.475;0.1535;0.0541;0.0915;0.0000;True;True;-0.0672;0.6402;0.1447;3.368.221;1.017.427;2.146.755;-0.7249;-44.906;10.250;0.0000;-0.0132;0.5929;0.1937;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
3440;0.7200;-0.0391;12.217;-0.0115;110.450;3.378.463;35.350;True;True;0.1265;0.6820;0.0686;629.848;843.420;203.719;0.0306;-0.0576;0.0490;0.0000;True;True;-0.0847;0.6264;0.1015;3.128.404;726.010;2.307.298;0.0498;0.4323;-0.1635;0.0000;-0.0292;0.5450;0.1600;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
3445;0.7800;-0.0378;12.224;-0.0155;106.480;3.355.185;27.020;True;True;0.1239;0.6814;0.0726;538.953;853.976;213.482;-0.1138;-0.0485;0.1379;0.0000;True;True;-0.0742;0.6652;0.1026;3.156.146;757.651;2.295.919;-0.0324;0.1069;-0.0201;0.0000;-0.0157;0.5937;0.1576;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
3450;0.8600;-0.0378;12.232;-0.0195;105.767;3.332.604;19.588;True;True;0.1115;0.6821;0.0770;520.581;803.678;184.038;-0.0630;0.0070;-0.0215;0.0000;True;True;-0.0751;0.6681;0.1003;3.165.833;788.451;2.252.408;0.0029;0.0554;-0.0156;0.0000;-0.0180;0.5966;0.1580;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
