Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist;RPalmPosition_x;RPalmPosition_y;RPalmPosition_z;RIsPinchGrabbing;RIsPalmGrabbing;RIsAutogripGrabbing;RStrengthThumbIndex;RStrengthThumbMiddle;RStrengthThumbRing;RStrengthThumbPinky;RStrengthPalmIndex;RStrengthPalmMiddle;RStrengthPalmRing;RStrengthPalmPinky;RGrabIdentifier;RMovedCorrectly;LPalmPosition_x;LPalmPosition_y;LPalmPosition_z;LIsPinchGrabbing;LIsPalmGrabbing;LIsAutogripGrabbing;LStrengthThumbIndex;LStrengthThumbMiddle;LStrengthThumbRing;LStrengthThumbPinky;LStrengthPalmIndex;LStrengthPalmMiddle;LStrengthPalmRing;LStrengthPalmPinky;LGrabIdentifier;LMovedCorrectly
8135;0.0600;-0.0015;12.232;-0.0353;109.405;3.565.689;24.650;True;True;0.0581;0.9125;0.1851;162.981;621.925;3.298.403;0.0711;-0.1035;-0.3437;0.0000;True;True;-0.1020;0.6663;0.0876;3.208.700;995.189;2.024.946;0.0192;-0.0084;-0.0008;0.0000;-0.0448;0.6105;0.1589;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
8145;0.2000;-0.0025;12.221;-0.0344;111.959;3.563.908;26.091;True;True;0.0882;0.9112;0.1156;288.592;482.091;3.150.233;0.1597;0.0086;-0.4682;0.0000;True;True;-0.1017;0.6649;0.0876;3.198.809;1.006.065;2.018.180;0.0006;0.0004;-0.0041;0.0000;-0.0421;0.6107;0.1586;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
8155;0.3400;-0.0031;12.220;-0.0338;106.190;3.557.318;29.801;True;True;0.1260;0.8310;0.0870;359.744;298.563;2.879.774;0.1598;-0.4969;-0.1210;0.0000;True;True;-0.1017;0.6665;0.0869;3.193.519;1.007.304;2.014.962;0.0277;0.0476;-0.0076;0.0000;-0.0421;0.6125;0.1584;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
8165;0.4800;-0.0022;12.249;-0.0335;92.010;3.541.660;27.774;True;True;0.1599;0.7406;0.0585;606.368;396.158;3.106.980;0.0684;-0.1399;-0.3191;0.0000;True;True;-0.1005;0.6697;0.0862;3.204.999;1.014.959;2.011.331;0.0033;-0.0012;0.0025;0.0000;-0.0410;0.6161;0.1576;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
8170;0.5400;-0.0014;12.254;-0.0339;89.677;3.533.815;26.939;True;True;0.1519;0.7227;0.0418;654.058;538.063;3.362.467;-0.1914;-0.3600;-0.2798;0.0000;True;True;-0.0997;0.6716;0.0875;3.207.196;1.015.250;2.016.606;0.0364;0.0373;0.0420;0.0000;-0.0403;0.6168;0.1578;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
8175;0.6200;-0.0017;12.245;-0.0354;91.597;3.520.273;24.005;True;True;0.1340;0.6797;0.0390;606.519;799.780;106.838;-0.1529;-0.4872;-0.0091;0.0000;True;True;-0.0987;0.6724;0.0870;3.210.745;1.016.067;2.020.581;0.0177;0.0074;-0.0101;0.0000;-0.0389;0.6176;0.1573;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
8180;0.6800;-0.0033;12.243;-0.0371;93.831;3.493.772;16.364;True;True;0.1300;0.6728;0.0390;452.211;783.179;173.807;-0.0008;0.2051;0.0236;0.0000;True;True;-0.0985;0.6780;0.0841;3.202.310;996.721;2.030.841;-0.0206;0.0989;-0.0509;0.0000;-0.0391;0.6216;0.1550;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
8185;0.7600;-0.0086;12.243;-0.0411;96.622;3.444.429;0.1284;True;True;0.1283;0.6846;0.0625;371.389;665.359;111.110;-0.0233;0.0785;0.1524;0.0000;True;True;-0.1020;0.6752;0.0834;3.197.074;1.001.478;2.024.828;-0.0600;-0.0429;-0.0193;0.0000;-0.0413;0.6213;0.1544;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
8190;0.8200;-0.0174;12.250;-0.0457;89.586;3.378.940;3.586.683;True;True;0.1231;0.6971;0.0605;460.307;738.395;130.883;0.0042;-0.0518;-0.0256;0.0000;True;True;-0.1020;0.6762;0.0828;3.204.972;1.022.399;2.007.612;0.0030;0.0550;-0.0099;0.0000;-0.0417;0.6221;0.1539;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
8195;0.9000;-0.0258;12.254;-0.0505;85.741;3.324.994;3.588.381;True;True;0.1265;0.6890;0.0610;432.463;759.539;133.017;0.0051;-0.0732;0.0150;0.0000;True;True;-0.1016;0.6812;0.0837;3.221.499;1.041.213;2.003.354;0.0041;0.0254;0.0095;0.0000;-0.0411;0.6265;0.1537;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
8200;0.9600;-0.0319;12.255;-0.0552;85.064;3.285.912;3.595.378;True;True;0.1260;0.6872;0.0568;422.105;736.270;113.158;0.0022;-0.0105;-0.0929;0.0000;True;True;-0.1012;0.6816;0.0828;3.227.316;1.064.322;1.980.562;-0.0182;0.0064;-0.0209;0.0000;-0.0391;0.6293;0.1533;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
8205;10.400;-0.0361;12.262;-0.0579;78.885;3.258.825;0.1098;True;True;0.1281;0.6879;0.0561;415.488;704.671;97.023;0.0039;-0.0018;0.0090;0.0000;True;True;-0.1044;0.6817;0.0810;3.215.505;1.052.855;1.959.635;-0.1059;0.0137;-0.0624;0.0000;-0.0415;0.6309;0.1549;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
8210;11.000;-0.0383;12.267;-0.0582;74.648;3.245.657;0.4242;True;True;0.1279;0.6868;0.0569;424.812;698.908;83.531;-0.0120;-0.0459;0.0216;0.0000;True;True;-0.1364;0.7226;0.0612;3.174.245;1.055.416;1.773.025;-0.9037;14.908;-0.6017;0.0000;-0.0758;0.6773;0.1562;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
8215;11.800;-0.0393;12.262;-0.0570;76.570;3.242.797;0.5606;True;True;0.1273;0.6852;0.0569;432.937;704.463;89.138;-0.0009;-0.0219;0.0073;0.0000;True;True;-0.1691;0.7713;0.0709;3.193.201;1.057.231;1.554.838;-0.4110;0.2648;0.1878;0.0000;-0.1324;0.7679;0.1707;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
8220;12.400;-0.0402;12.255;-0.0560;80.486;3.239.799;0.3517;True;True;0.1278;0.6815;0.0590;424.980;697.429;82.107;0.0045;-0.0506;0.0188;0.0000;True;True;-0.2267;0.8317;0.0902;3.190.101;1.081.240;1.333.263;-11.414;15.149;0.2102;0.0000;-0.2114;0.8463;0.1895;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
8230;13.800;-0.0414;12.252;-0.0561;84.115;3.235.197;0.4011;True;True;0.1275;0.6816;0.0583;412.971;682.521;70.899;-0.0174;0.0075;-0.0134;0.0000;True;True;-0.3193;0.9342;0.1304;3.203.375;1.015.017;1.069.370;-0.6644;0.7981;0.2134;0.0000;-0.3494;0.9908;0.2040;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
8240;15.200;-0.0416;12.280;-0.0561;73.972;3.241.451;0.7211;True;True;0.1276;0.6831;0.0580;419.662;686.082;75.402;0.0008;-0.0029;-0.0050;0.0000;True;True;-0.3974;0.9944;0.2035;3.128.182;792.685;1.219.851;-0.2963;0.2150;0.3501;0.0000;-0.4537;10.392;0.2690;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
8250;16.600;-0.0426;12.305;-0.0554;62.814;3.249.406;10.000;True;True;0.1286;0.6813;0.0579;418.402;680.993;63.562;0.0078;-0.0276;-0.0033;0.0000;True;True;-0.4121;10.291;0.2384;3.079.882;693.504;1.329.632;-0.0273;0.1057;0.0030;0.0000;-0.4820;10.589;0.3127;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
8260;18.000;-0.0440;12.339;-0.0543;45.692;3.256.121;11.970;True;True;0.1303;0.6808;0.0571;425.806;675.414;59.297;0.0051;0.0003;-0.0118;0.0000;True;True;-0.4375;10.317;0.2692;3.146.076;604.726;1.510.579;-0.2073;-0.0215;0.2108;0.0000;-0.4971;10.464;0.3502;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
