Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist;RPalmPosition_x;RPalmPosition_y;RPalmPosition_z;RIsPinchGrabbing;RIsPalmGrabbing;RIsAutogripGrabbing;RStrengthThumbIndex;RStrengthThumbMiddle;RStrengthThumbRing;RStrengthThumbPinky;RStrengthPalmIndex;RStrengthPalmMiddle;RStrengthPalmRing;RStrengthPalmPinky;RGrabIdentifier;RMovedCorrectly;LPalmPosition_x;LPalmPosition_y;LPalmPosition_z;LIsPinchGrabbing;LIsPalmGrabbing;LIsAutogripGrabbing;LStrengthThumbIndex;LStrengthThumbMiddle;LStrengthThumbRing;LStrengthThumbPinky;LStrengthPalmIndex;LStrengthPalmMiddle;LStrengthPalmRing;LStrengthPalmPinky;LGrabIdentifier;LMovedCorrectly;
20270;0.0800;-0.0181;1.2035;-0.0141;22.7755;1.6806;4.0111;True;True;0.0545;0.9088;0.2157;18.5693;64.7253;313.6741;0.0189;0.0202;-0.1831;0.0000;True;True;-0.0417;0.6005;0.1202;12.8626;108.5424;213.9459;-0.0375;-0.0284;0.0243;0.0000;-0.0386;0.5178;0.1870;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
20275;0.1400;-0.0168;1.2035;-0.0140;22.6563;1.8902;4.3006;True;True;0.0592;0.9041;0.2091;15.4992;61.8916;303.3555;0.1144;-0.1383;-0.0444;0.0000;True;True;-0.0423;0.6004;0.1215;12.8708;108.8930;215.3808;0.0067;0.0354;-0.0003;0.0000;-0.0407;0.5153;0.1872;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
20280;0.2200;-0.0155;1.2034;-0.0141;22.5316;2.1324;4.6720;True;True;0.0622;0.8940;0.1926;15.9590;54.8503;289.3130;0.0148;-0.1451;-0.1801;0.0000;True;True;-0.0410;0.6002;0.1221;12.6116;108.2075;216.3450;0.0110;0.0168;0.0011;0.0000;-0.0409;0.5141;0.1862;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
20285;0.2800;-0.0139;1.2032;-0.0136;22.4720;2.3430;4.9237;True;True;0.0640;0.8783;0.1706;12.1160;47.7766;273.1444;-0.0621;-0.1424;-0.6948;0.0000;True;True;-0.0413;0.6098;0.1219;9.9602;107.6816;218.0994;-0.0355;0.1961;-0.0051;0.0000;-0.0388;0.5186;0.1814;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
20290;0.3600;-0.0110;1.2023;-0.0137;22.8653;3.1688;4.7173;True;True;0.0632;0.8630;0.1401;10.0291;39.5194;269.1881;-0.0455;-0.3091;-0.2489;0.0000;True;True;-0.0418;0.6129;0.1210;9.3961;109.1467;218.2647;-0.0074;-0.0224;-0.0077;0.0000;-0.0373;0.5240;0.1798;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
20295;0.4200;-0.0068;1.2021;-0.0139;22.9913;4.8994;4.5833;True;True;0.0584;0.8350;0.1240;7.3682;34.8990;268.5314;-0.0305;-0.5829;-0.2629;0.0000;True;True;-0.0428;0.6132;0.1203;9.0648;108.9512;217.5678;-0.0130;0.0436;0.0028;0.0000;-0.0369;0.5249;0.1805;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
20300;0.5000;-0.0025;1.2027;-0.0147;22.7014;6.2430;4.1920;True;True;0.0589;0.8111;0.1131;1.6763;32.9251;272.6674;-0.0059;-0.1828;-0.1023;0.0000;True;True;-0.0413;0.6155;0.1207;9.4653;107.5965;218.3450;0.0220;0.0544;-0.0024;0.0000;-0.0379;0.5256;0.1804;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
20305;0.5600;0.0013;1.2029;-0.0162;22.8516;7.2080;3.8495;True;True;0.0506;0.7882;0.0930;1.4562;26.9296;275.7430;-0.2576;-0.5808;-0.5472;0.0000;True;True;-0.0413;0.6213;0.1195;13.4516;111.1077;219.5984;0.0055;0.0987;-0.0920;0.0000;-0.0403;0.5305;0.1793;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
20315;0.7000;0.0114;1.2027;-0.0213;22.8518;11.0610;3.9581;True;True;0.0248;0.7848;0.0493;355.6667;12.5167;287.0056;-0.3749;0.0267;-0.6366;0.0000;True;True;0.0000;0.0000;0.0000;0.0000;90.0000;180.0000;0.0000;0.0000;0.0000;0.0000;-0.0410;0.5362;0.1784;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
20325;0.8400;0.0244;1.1999;-0.0314;24.1082;17.6493;4.9250;True;True;0.0000;0.7743;0.0191;348.6382;3.8636;289.8914;-0.2052;-0.1057;-0.0958;0.0000;True;True;-0.0590;0.5656;0.1350;4.6624;104.7679;215.4590;-0.0210;0.1315;-0.0716;0.0000;-0.0537;0.4742;0.1960;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
