Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist;RPalmPosition_x;RPalmPosition_y;RPalmPosition_z;RIsPinchGrabbing;RIsPalmGrabbing;RIsAutogripGrabbing;RStrengthThumbIndex;RStrengthThumbMiddle;RStrengthThumbRing;RStrengthThumbPinky;RStrengthPalmIndex;RStrengthPalmMiddle;RStrengthPalmRing;RStrengthPalmPinky;RGrabIdentifier;RMovedCorrectly;LPalmPosition_x;LPalmPosition_y;LPalmPosition_z;LIsPinchGrabbing;LIsPalmGrabbing;LIsAutogripGrabbing;LStrengthThumbIndex;LStrengthThumbMiddle;LStrengthThumbRing;LStrengthThumbPinky;LStrengthPalmIndex;LStrengthPalmMiddle;LStrengthPalmRing;LStrengthPalmPinky;LGrabIdentifier;LMovedCorrectly;
3160;0.0400;-0.0356;1.1427;-0.0491;6.7373;344.3926;2.3344;True;True;0.1362;0.6177;0.1512;19.7632;74.0435;358.2311;0.0035;0.0010;-0.0034;0.0000;True;True;-0.1713;0.8702;0.1874;351.1432;98.0981;136.1778;-0.0149;-0.2347;-0.1321;0.0000;-0.1682;0.9099;0.2922;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
3165;0.1200;-0.0362;1.1416;-0.0494;7.2973;344.2239;2.8098;True;True;0.1362;0.6177;0.1514;18.4428;73.6447;358.4631;-0.0062;-0.0007;0.0029;0.0000;True;True;-0.1617;0.8629;0.1488;348.5851;109.9628;123.8161;0.0804;-0.1328;-0.3755;0.0000;-0.1477;0.9292;0.2422;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
3170;0.2000;-0.0363;1.1426;-0.0505;6.5202;344.2004;2.7378;True;True;0.1358;0.6177;0.1516;18.1998;73.4829;358.2267;-0.0013;0.0004;-0.0014;0.0000;True;True;-0.1729;0.8037;0.1602;352.7729;118.3768;123.9852;-0.0806;-0.6801;0.1117;0.0000;-0.1422;0.8815;0.2398;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
3185;0.4200;-0.0404;1.1492;-0.0553;2.2054;343.5894;3.6017;True;True;0.1352;0.6189;0.1516;17.8722;73.7774;358.7812;-0.0031;-0.0066;-0.0053;0.0000;True;True;-0.1846;0.6560;0.1414;341.2813;122.0255;174.1727;-0.3381;-0.9044;0.1987;0.0000;-0.1186;0.6424;0.2261;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
3190;0.5000;-0.0426;1.1502;-0.0557;1.7275;342.9524;3.9805;True;True;0.1349;0.6180;0.1513;18.0112;74.1788;358.5456;-0.0135;-0.0031;-0.0034;0.0000;True;True;-0.1866;0.6315;0.1384;338.4149;123.3763;175.0002;0.1615;-0.2536;-0.1172;0.0000;-0.1236;0.6118;0.2222;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
3200;0.6400;-0.0472;1.1511;-0.0573;1.1949;340.1603;3.8168;True;True;0.1356;0.6199;0.1515;17.4169;73.4801;358.6920;0.0354;0.0436;-0.0022;0.0000;True;True;-0.1722;0.6062;0.1397;341.5847;122.8287;169.5475;0.1018;0.1249;0.2554;0.0000;-0.1116;0.5860;0.2230;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
3205;0.7200;-0.0496;1.1512;-0.0590;1.0573;338.1808;4.0554;True;True;0.1333;0.6204;0.1507;17.4954;74.2873;358.7785;-0.0330;0.0121;0.0121;0.0000;True;True;-0.1674;0.6191;0.1483;340.8236;120.9587;168.1680;0.0075;0.0188;-0.0273;0.0000;-0.1071;0.6061;0.2375;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
3210;0.7800;-0.0510;1.1511;-0.0600;0.9214;337.0210;4.3253;True;True;0.1330;0.6218;0.1523;16.9898;74.7542;359.9704;0.0221;0.0209;0.0291;0.0000;True;True;-0.1674;0.6178;0.1452;342.0514;119.4434;169.5041;-0.0058;-0.0437;-0.0879;0.0000;-0.1107;0.6030;0.2367;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
3215;0.8600;-0.0530;1.1511;-0.0611;0.8279;335.5933;4.4475;True;True;0.1344;0.6218;0.1523;18.0081;74.2621;359.9561;0.0115;-0.0046;-0.0064;0.0000;True;True;-0.1681;0.6171;0.1426;342.5977;119.9563;168.8847;-0.0129;-0.0069;-0.0197;0.0000;-0.1106;0.6024;0.2334;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
3220;0.9200;-0.0546;1.1513;-0.0622;0.6809;334.1120;4.3746;True;True;0.1338;0.6221;0.1514;18.0836;74.7450;359.7931;-0.0126;-0.0018;-0.0208;0.0000;True;True;-0.1706;0.6168;0.1424;341.2901;120.2266;168.5533;-0.0274;0.0111;-0.0090;0.0000;-0.1127;0.6023;0.2326;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
