Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist;RPalmPosition_x;RPalmPosition_y;RPalmPosition_z;RIsPinchGrabbing;RIsPalmGrabbing;RIsAutogripGrabbing;RStrengthThumbIndex;RStrengthThumbMiddle;RStrengthThumbRing;RStrengthThumbPinky;RStrengthPalmIndex;RStrengthPalmMiddle;RStrengthPalmRing;RStrengthPalmPinky;RGrabIdentifier;RMovedCorrectly;LPalmPosition_x;LPalmPosition_y;LPalmPosition_z;LIsPinchGrabbing;LIsPalmGrabbing;LIsAutogripGrabbing;LStrengthThumbIndex;LStrengthThumbMiddle;LStrengthThumbRing;LStrengthThumbPinky;LStrengthPalmIndex;LStrengthPalmMiddle;LStrengthPalmRing;LStrengthPalmPinky;LGrabIdentifier;LMovedCorrectly
23185;0.0200;0.0736;11.628;0.1266;156.348;3.375.982;3.404.350;True;True;0.3132;0.7879;0.0533;331.220;473.143;3.521.652;156.599;393.933;26.636;0.0000;True;True;-0.2354;10.379;0.2287;3.576.849;979.201;1.909.841;-117.691;518.952;114.373;0.0000;-0.2189;0.9777;0.3278;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
23190;0.1000;0.0705;11.625;0.1266;160.613;3.374.088;3.408.959;True;True;0.3135;0.7894;0.0521;308.335;507.704;3.566.166;0.0234;0.0486;0.0254;0.0000;True;True;-0.2376;10.541;0.2046;3.535.871;1.019.004;1.861.727;0.1027;0.1788;-0.1524;0.0000;-0.2155;10.040;0.3007;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
23200;0.2400;0.0639;11.637;0.1257;160.416;3.367.832;3.412.525;True;True;0.3143;0.7911;0.0553;323.438;516.329;19.061;0.0001;0.0045;0.0003;0.0000;True;True;-0.2387;10.676;0.1657;3.567.380;933.299;1.789.953;0.0214;0.0180;-0.1731;0.0000;-0.2298;10.322;0.2695;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
23210;0.3800;0.0580;11.668;0.1223;155.956;3.365.566;3.418.319;True;True;0.3132;0.7923;0.0566;272.210;524.512;43.440;-0.0120;-0.0005;0.0012;0.0000;True;True;-0.2238;10.475;0.1604;3.562.173;907.691;1.806.494;0.1583;-0.2579;-0.0828;0.0000;-0.2239;10.182;0.2630;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
23220;0.5200;0.0533;11.770;0.1149;138.521;3.391.558;3.463.340;True;True;0.3135;0.7903;0.0577;283.237;559.697;66.830;0.0127;0.0192;0.0100;0.0000;True;True;-0.2043;0.9814;0.1649;3.509.230;983.391;1.909.036;0.0978;-0.3805;0.0609;0.0000;-0.1863;0.9382;0.2554;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
23230;0.6600;0.0439;11.897;0.1016;124.504;3.426.239;3.525.019;True;True;0.3184;0.7773;0.0591;295.544;554.442;63.517;-0.0348;0.0200;-0.0383;0.0000;True;True;-0.1768;0.9240;0.1650;3.443.979;1.024.155;1.987.026;0.1139;-0.0752;0.0755;0.0000;-0.1459;0.8635;0.2438;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
23235;0.7200;0.0377;11.947;0.0926;124.076;3.442.839;3.550.662;True;True;0.2968;0.8251;0.0597;263.173;515.400;3.547.493;-0.8799;17.362;-0.1535;0.0000;True;True;-0.1638;0.9060;0.1706;3.313.945;986.243;2.114.930;0.1591;-0.5670;0.2563;0.0000;-0.1169;0.8418;0.2316;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
23240;0.8000;0.0320;11.994;0.0827;122.890;3.468.529;3.573.721;True;True;0.2796;0.8387;0.0560;267.622;565.373;3.555.524;-0.0334;-0.1642;0.0167;0.0000;True;True;-0.1519;0.8873;0.1818;3.296.668;999.692;2.143.453;0.2655;-0.1081;0.0674;0.0000;-0.1035;0.8155;0.2356;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
23245;0.8600;0.0276;12.044;0.0734;115.842;3.508.997;3.595.658;True;True;0.2826;0.8323;0.0540;249.871;638.215;21.752;0.1536;0.0368;-0.0207;0.0000;True;True;-0.1373;0.8665;0.1876;3.313.469;1.046.544;2.153.212;0.1727;-0.5627;0.0935;0.0000;-0.0838;0.7986;0.2381;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
23250;0.9400;0.0230;12.094;0.0649;105.182;3.554.139;18.768;True;True;0.2788;0.8504;0.0575;225.986;696.936;124.582;-0.1406;0.0399;0.0232;0.0000;True;True;-0.1379;0.8435;0.1830;3.296.116;1.108.325;2.161.252;0.0642;-0.0856;-0.0149;0.0000;-0.0779;0.7689;0.2259;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
23255;10.000;0.0157;12.141;0.0564;94.951;3.587.005;38.924;True;True;0.2666;0.8487;0.0561;205.290;716.553;144.171;-0.2468;-0.0238;-0.0290;0.0000;True;True;-0.1208;0.8405;0.1831;3.234.870;1.118.191;2.210.509;0.2266;-0.0805;0.0017;0.0000;-0.0537;0.7667;0.2140;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
23260;10.800;0.0072;12.181;0.0483;81.205;0.7227;51.071;True;True;0.2600;0.8445;0.0545;162.850;720.478;131.129;-0.0532;-0.0226;-0.0011;0.0000;True;True;-0.1278;0.8182;0.1857;3.216.113;1.111.800;2.220.786;-0.0758;-0.2399;0.0143;0.0000;-0.0536;0.7495;0.2120;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
23265;11.400;-0.0007;12.214;0.0410;71.105;23.746;57.868;True;True;0.2547;0.8481;0.0598;134.096;725.401;146.916;-0.1131;0.0000;0.1439;0.0000;True;True;-0.1277;0.8114;0.1874;3.221.120;1.129.072;2.178.443;-0.0047;-0.0815;0.0514;0.0000;-0.0546;0.7410;0.2181;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
23275;12.800;-0.0123;12.246;0.0283;62.345;37.176;60.818;True;True;0.2329;0.8295;0.1020;101.950;729.614;216.945;-0.2153;-0.1523;0.4400;0.0000;True;True;-0.1245;0.8087;0.1828;3.279.987;1.143.601;2.169.004;-0.0250;-0.1355;-0.1045;0.0000;-0.0564;0.7352;0.2185;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
23285;14.200;-0.0191;12.289;0.0208;47.723;26.379;51.866;True;True;0.2099;0.8264;0.1337;158.532;822.673;303.642;-0.0023;-0.0582;0.1345;0.0000;True;True;-0.1223;0.8058;0.1767;3.317.619;1.154.902;2.163.056;0.0005;0.0270;-0.0137;0.0000;-0.0585;0.7279;0.2134;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
23295;15.600;-0.0176;12.348;0.0135;28.610;21.382;43.192;True;True;0.1839;0.8282;0.1603;21.031;746.808;302.916;0.0879;-0.1080;-0.0286;0.0000;True;True;-0.1243;0.8023;0.1665;3.287.343;1.147.486;2.148.064;0.0221;-0.0318;-0.0374;0.0000;-0.0570;0.7295;0.2049;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
23305;17.000;-0.0145;12.398;0.0054;14.201;11.417;46.206;True;True;0.1902;0.8109;0.1708;46.726;749.580;233.024;0.0786;-0.0535;0.0227;0.0000;True;True;-0.1228;0.7994;0.1654;3.312.321;1.165.511;2.126.426;0.0074;0.0225;0.0108;0.0000;-0.0573;0.7255;0.2062;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
23315;18.400;-0.0138;12.439;-0.0047;0.1714;0.5884;41.886;True;True;0.1996;0.8156;0.1640;70.845;725.875;248.324;0.0329;0.0509;-0.0850;0.0000;True;True;-0.1211;0.8054;0.1671;3.331.695;1.169.380;2.132.595;0.0048;0.0439;0.0172;0.0000;-0.0572;0.7293;0.2075;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
23325;19.800;-0.0152;12.483;-0.0127;3.579.769;0.3467;38.083;True;True;0.1991;0.8264;0.1551;43.258;702.892;265.077;-0.0240;0.0082;-0.0261;0.0000;True;True;-0.1237;0.8077;0.1706;3.335.816;1.160.355;2.160.326;-0.0090;0.0197;0.0100;0.0000;-0.0614;0.7292;0.2082;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
23330;20.400;-0.0172;12.494;-0.0157;3.574.545;0.0056;37.722;True;True;0.1990;0.8260;0.1524;50.138;703.925;259.495;0.0129;-0.0337;-0.0774;0.0000;True;True;-0.1241;0.8091;0.1715;3.335.066;1.155.791;2.178.232;-0.0018;0.0111;0.0035;0.0000;-0.0630;0.7292;0.2069;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
23335;21.200;-0.0196;12.499;-0.0172;3.571.193;3.593.946;38.980;True;True;0.1969;0.8246;0.1462;48.064;711.323;246.704;-0.0375;0.0245;-0.0424;0.0000;True;True;-0.1228;0.8116;0.1701;3.340.745;1.150.486;2.180.450;0.0258;0.0592;-0.0338;0.0000;-0.0630;0.7296;0.2058;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
23340;21.800;-0.0217;12.499;-0.0182;3.569.687;3.588.931;38.543;True;True;0.1953;0.8231;0.1436;31.337;693.294;237.073;-0.0180;-0.0350;-0.0429;0.0000;True;True;-0.1216;0.8162;0.1685;3.348.865;1.138.883;2.195.616;0.0160;0.0541;-0.0217;0.0000;-0.0637;0.7335;0.2036;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
23345;22.600;-0.0240;12.508;-0.0182;3.563.860;3.580.304;40.705;True;True;0.1952;0.8204;0.1423;24.640;691.589;243.362;-0.0029;-0.0470;-0.0227;0.0000;True;True;-0.1204;0.8170;0.1701;3.354.737;1.142.062;2.202.799;-0.0111;0.0208;0.0047;0.0000;-0.0633;0.7328;0.2037;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
23350;23.200;-0.0302;12.522;-0.0177;3.555.860;3.540.152;43.779;True;True;0.1929;0.8229;0.1409;12.882;701.504;258.367;-0.1077;0.1152;-0.0112;0.0000;True;True;-0.1216;0.8173;0.1703;3.350.688;1.153.582;2.198.912;-0.0234;0.0110;0.0005;0.0000;-0.0632;0.7342;0.2031;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
23355;24.000;-0.0407;12.529;-0.0188;3.552.130;3.472.439;53.044;True;True;0.1880;0.8278;0.1396;0.6661;714.228;283.088;-0.0044;0.0318;-0.0229;0.0000;True;True;-0.1209;0.8156;0.1713;3.352.168;1.155.620;2.197.620;0.0166;-0.0493;0.0278;0.0000;-0.0629;0.7334;0.2036;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
23360;24.600;-0.0498;12.527;-0.0200;3.554.152;3.415.819;54.586;True;True;0.1876;0.8310;0.1369;11.520;703.357;281.076;0.0117;0.0816;-0.0823;0.0000;True;True;-0.1204;0.8103;0.1708;3.348.362;1.166.162;2.183.375;-0.0011;-0.0686;-0.0633;0.0000;-0.0611;0.7284;0.2051;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
23365;25.400;-0.0556;12.521;-0.0206;3.557.971;3.382.483;55.495;True;True;0.1877;0.8350;0.1357;20.053;688.234;267.451;-0.0164;0.0665;0.0060;0.0000;True;True;-0.1196;0.8103;0.1682;3.345.339;1.175.665;2.157.935;0.0081;-0.0288;0.0078;0.0000;-0.0582;0.7317;0.2047;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
