Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist;RPalmPosition_x;RPalmPosition_y;RPalmPosition_z;RIsPinchGrabbing;RIsPalmGrabbing;RIsAutogripGrabbing;RStrengthThumbIndex;RStrengthThumbMiddle;RStrengthThumbRing;RStrengthThumbPinky;RStrengthPalmIndex;RStrengthPalmMiddle;RStrengthPalmRing;RStrengthPalmPinky;RGrabIdentifier;RMovedCorrectly;LPalmPosition_x;LPalmPosition_y;LPalmPosition_z;LIsPinchGrabbing;LIsPalmGrabbing;LIsAutogripGrabbing;LStrengthThumbIndex;LStrengthThumbMiddle;LStrengthThumbRing;LStrengthThumbPinky;LStrengthPalmIndex;LStrengthPalmMiddle;LStrengthPalmRing;LStrengthPalmPinky;LGrabIdentifier;LMovedCorrectly;
12920;0.0400;0.0126;1.1964;-0.0168;9.4345;356.9083;1.7466;True;True;0.0441;0.8968;0.1590;7.4980;70.4631;345.2104;0.6158;-1.1193;-1.0786;0.0000;True;True;-0.0952;0.6719;0.1063;324.7886;335.3243;324.8545;-0.0999;-0.0503;-0.1078;0.0000;-0.0117;0.6488;0.1636;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
12925;0.1200;0.0111;1.1955;-0.0211;9.4707;356.1911;1.7208;True;True;0.0520;0.8418;0.1102;6.5736;58.4246;322.5700;0.0564;-0.3232;-0.4011;0.0000;True;True;-0.0903;0.6730;0.1041;315.9895;340.3156;322.6404;0.1147;0.1198;-0.0010;0.0000;-0.0084;0.6484;0.1585;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
12935;0.2600;0.0110;1.2013;-0.0299;5.9055;356.1524;1.6524;True;True;0.0822;0.7342;0.0650;17.6749;35.2493;338.2462;0.0694;-1.0177;-0.2858;0.0000;True;True;-0.0573;0.7151;0.1100;295.1701;45.7077;261.7452;0.2344;0.4976;-0.0505;0.0000;0.0226;0.6709;0.1633;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
12940;0.3400;0.0119;1.2063;-0.0361;3.0844;355.6952;1.1370;True;True;0.0734;0.7134;0.0760;24.3209;37.6490;349.1866;-0.1671;0.0566;0.1704;0.0000;True;True;-0.0536;0.7228;0.1038;310.0938;99.5276;213.4593;-0.0865;-0.0818;-0.0084;0.0000;0.0220;0.6741;0.1545;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
12945;0.4200;0.0146;1.2096;-0.0425;1.2936;355.8966;0.8943;True;True;0.0633;0.7222;0.1023;30.9528;44.8339;356.8955;-0.3060;0.0112;0.5444;0.0000;True;True;-0.0555;0.7166;0.1071;340.7071;126.0425;197.8426;0.0196;-0.0981;0.0429;0.0000;0.0114;0.6620;0.1592;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
12955;0.5600;0.0264;1.2098;-0.0515;1.0735;359.9828;0.7191;True;True;0.0486;0.6991;0.1291;35.4371;59.1759;29.8981;-0.2042;-0.2404;0.0398;0.0000;True;True;-0.0555;0.7118;0.0946;340.0612;123.4116;207.1745;-0.0121;-0.0493;-0.2555;0.0000;0.0050;0.6439;0.1461;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
12965;0.7000;0.0528;1.1999;-0.0596;7.3493;15.4915;2.1263;True;True;0.0483;0.7005;0.1133;38.0766;60.0870;19.2622;-0.0021;0.0548;0.0459;0.0000;True;True;-0.0790;0.7038;0.0886;336.9238;124.3711;207.3497;-0.0454;0.0348;0.1896;0.0000;-0.0163;0.6343;0.1284;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
12970;0.7800;0.0685;1.1971;-0.0655;8.7019;24.9614;1.5983;True;True;0.0547;0.6862;0.1133;38.4217;47.1134;6.4955;0.1694;-0.2229;0.0277;0.0000;True;True;-0.0660;0.7049;0.0990;334.7841;117.8619;213.0729;0.2777;0.0344;0.0819;0.0000;-0.0092;0.6323;0.1360;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
12975;0.8800;0.0796;1.1938;-0.0688;11.0512;33.2033;1.3987;True;True;0.0682;0.6818;0.1143;22.4454;40.9403;358.6061;0.2627;0.4848;-0.0985;0.0000;True;True;-0.0480;0.7074;0.1005;340.2455;112.1671;212.9229;0.1098;-0.0599;0.0485;0.0000;-0.0004;0.6320;0.1462;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
12980;0.9800;0.0802;1.1907;-0.0613;12.7973;34.0520;3.3235;True;True;0.1401;0.8255;0.0576;37.5216;58.7271;4.0567;0.9202;1.5534;-0.4885;0.0000;True;True;-0.0399;0.7036;0.1158;335.8778;106.6560;215.2318;0.0450;0.0713;0.1997;0.0000;0.0074;0.6252;0.1596;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
12985;1.0800;0.0761;1.1867;-0.0548;14.6960;32.5223;5.2381;True;True;0.2265;0.8838;0.0729;31.6238;61.8537;335.9129;1.1921;1.0320;0.5550;0.0000;True;True;-0.0733;0.6663;0.1015;1.3059;131.6745;204.2537;0.2696;-0.8417;0.0315;0.0000;-0.0311;0.6068;0.1504;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
12990;1.1800;0.0695;1.1859;-0.0492;15.6273;30.1038;5.6982;True;True;0.3182;0.8919;0.1418;20.8859;94.4804;327.2082;0.9766;0.0225;0.7653;0.0000;True;True;-0.0633;0.6677;0.1054;2.7908;131.6635;201.7980;0.1649;0.0794;0.1015;0.0000;-0.0178;0.5989;0.1637;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
12995;1.2800;0.0658;1.1872;-0.0431;15.0480;28.5357;6.1368;True;True;0.3218;0.8638;0.2066;18.7243;112.6392;329.8872;0.0717;-0.8008;0.8138;0.0000;True;True;-0.0581;0.6746;0.1099;2.2080;131.3537;205.5162;-0.0659;0.0245;-0.0227;0.0000;-0.0106;0.6025;0.1676;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
13000;1.3800;0.0642;1.1864;-0.0386;15.2550;27.7963;6.6808;True;True;0.3321;0.8461;0.2338;15.3984;115.5617;326.7613;-0.0289;0.0720;0.0054;0.0000;True;True;-0.0669;0.6734;0.1092;0.8089;132.5389;204.6368;-0.0505;0.0077;0.0009;0.0000;-0.0170;0.6019;0.1645;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
