Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist;RPalmPosition_x;RPalmPosition_y;RPalmPosition_z;RIsPinchGrabbing;RIsPalmGrabbing;RIsAutogripGrabbing;RStrengthThumbIndex;RStrengthThumbMiddle;RStrengthThumbRing;RStrengthThumbPinky;RStrengthPalmIndex;RStrengthPalmMiddle;RStrengthPalmRing;RStrengthPalmPinky;RGrabIdentifier;RMovedCorrectly;LPalmPosition_x;LPalmPosition_y;LPalmPosition_z;LIsPinchGrabbing;LIsPalmGrabbing;LIsAutogripGrabbing;LStrengthThumbIndex;LStrengthThumbMiddle;LStrengthThumbRing;LStrengthThumbPinky;LStrengthPalmIndex;LStrengthPalmMiddle;LStrengthPalmRing;LStrengthPalmPinky;LGrabIdentifier;LMovedCorrectly
8235;0.0400;-0.0040;11.688;-0.0065;0.0766;3.593.709;3.558.488;True;True;0.0882;0.8884;0.2362;3.452.481;157.638;3.083.772;-0.2650;-0.1422;-30.809;0.0000;True;True;-0.1513;0.6465;0.3402;64.609;1.440.809;1.857.513;-0.0901;-0.0355;-0.0095;0.0000;-0.0685;0.5978;0.4055;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
8240;0.1400;0.0007;11.683;-0.0078;0.4037;3.593.872;3.552.293;True;True;0.1010;0.8638;0.1409;3.340.523;109.234;3.140.655;-0.1379;-0.2606;-0.0725;0.0000;True;True;-0.1509;0.6466;0.3400;59.371;1.442.320;1.857.274;0.0091;0.0022;0.0091;0.0000;-0.0694;0.5986;0.4049;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
8245;0.2200;0.0061;11.681;-0.0101;3.599.933;3.599.859;3.547.161;True;True;0.1143;0.8253;0.1458;3.313.987;3.540.940;3.282.964;0.6856;-0.8490;-0.0641;0.0000;True;True;-0.1524;0.6477;0.3362;50.645;1.431.242;1.866.054;0.0080;-0.0439;-0.0535;0.0000;-0.0719;0.5999;0.4033;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
8250;0.3000;0.0094;11.691;-0.0107;3.595.264;3.599.854;3.543.614;True;True;0.1551;0.7823;0.2109;3.463.931;72.716;3.399.892;0.5177;-0.5523;0.4870;0.0000;True;True;-0.1442;0.6485;0.3395;58.579;1.460.032;1.878.013;0.0500;0.0028;0.0545;0.0000;-0.0643;0.5974;0.4022;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
8255;0.3800;0.0108;11.708;-0.0080;3.583.376;3.597.199;3.540.294;True;True;0.1679;0.7659;0.2556;16.833;226.088;3.551.197;-0.1835;-0.4127;0.3472;0.0000;True;True;-0.1444;0.6407;0.3347;53.031;1.449.799;1.873.989;-0.0458;0.0153;-0.0748;0.0000;-0.0619;0.5886;0.3984;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
8260;0.4600;0.0105;11.724;-0.0044;3.573.510;0.5345;3.541.001;True;True;0.1901;0.7032;0.2843;95.783;340.907;0.9131;0.2763;-0.3219;-0.0961;0.0000;True;True;-0.1474;0.6514;0.3318;27.581;1.423.720;1.881.640;-0.0095;0.1234;0.0283;0.0000;-0.0679;0.5965;0.3959;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
8265;0.5400;0.0092;11.730;-0.0037;3.572.725;10.514;3.541.871;True;True;0.2033;0.6834;0.2946;96.335;337.200;3.562.015;0.0581;0.0439;0.0402;0.0000;True;True;-0.1442;0.6598;0.3348;40.948;1.437.315;1.895.386;0.0079;0.0136;0.0258;0.0000;-0.0653;0.6047;0.3973;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
8270;0.6200;0.0062;11.737;-0.0049;3.565.589;0.9025;3.546.290;True;True;0.2082;0.6680;0.2783;54.601;349.006;3.595.086;0.0356;-0.1961;-0.4883;0.0000;True;True;-0.1455;0.6593;0.3350;38.712;1.439.998;1.898.608;-0.0129;-0.0131;-0.0050;0.0000;-0.0660;0.6042;0.3974;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
8275;0.7000;0.0045;11.746;-0.0078;3.562.453;0.9431;3.549.767;True;True;0.2041;0.6673;0.2605;59.053;365.934;0.8618;-0.0225;0.0626;-0.0719;0.0000;True;True;-0.1466;0.6572;0.3340;44.340;1.444.321;1.883.414;-0.0046;-0.0155;-0.0274;0.0000;-0.0661;0.6040;0.3970;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
8280;0.7800;0.0055;11.760;-0.0109;3.554.456;12.355;3.550.045;True;True;0.2007;0.6601;0.2579;73.243;390.686;60.661;0.0016;-0.1279;0.0002;0.0000;True;True;-0.1458;0.6527;0.3349;48.381;1.445.731;1.874.135;-0.0144;-0.0505;0.0617;0.0000;-0.0648;0.6018;0.3970;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
8285;0.8600;0.0072;11.768;-0.0138;3.550.563;16.934;3.550.237;True;True;0.2032;0.6496;0.2573;134.315;440.060;49.828;0.0299;-0.0191;0.0166;0.0000;True;True;-0.1464;0.6500;0.3375;58.668;1.452.372;1.871.807;0.0008;0.0147;-0.0051;0.0000;-0.0645;0.5993;0.4006;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
8290;0.9400;0.0079;11.777;-0.0159;3.547.522;20.018;3.552.375;True;True;0.2048;0.6513;0.2578;156.488;459.474;46.216;-0.0060;0.0594;0.0014;0.0000;True;True;-0.1456;0.6536;0.3350;61.055;1.443.082;1.882.751;-0.0153;0.0644;-0.0634;0.0000;-0.0654;0.6000;0.4003;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
