Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist;RPalmPosition_x;RPalmPosition_y;RPalmPosition_z;RIsPinchGrabbing;RIsPalmGrabbing;RIsAutogripGrabbing;RStrengthThumbIndex;RStrengthThumbMiddle;RStrengthThumbRing;RStrengthThumbPinky;RStrengthPalmIndex;RStrengthPalmMiddle;RStrengthPalmRing;RStrengthPalmPinky;RGrabIdentifier;RMovedCorrectly;LPalmPosition_x;LPalmPosition_y;LPalmPosition_z;LIsPinchGrabbing;LIsPalmGrabbing;LIsAutogripGrabbing;LStrengthThumbIndex;LStrengthThumbMiddle;LStrengthThumbRing;LStrengthThumbPinky;LStrengthPalmIndex;LStrengthPalmMiddle;LStrengthPalmRing;LStrengthPalmPinky;LGrabIdentifier;LMovedCorrectly;
10420;0.0600;0.0163;1.1174;-0.0785;13.5624;345.3388;357.2865;True;True;0.0995;0.5925;0.0059;88.2920;46.9340;328.2144;0.0003;0.0020;0.0179;0.0000;True;True;-0.2188;0.9390;0.1656;9.8911;107.7296;167.2064;-0.0834;0.0489;-0.3922;0.0000;-0.1874;0.9257;0.2723;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10425;0.1400;0.0194;1.1163;-0.0787;13.5115;345.9669;356.5269;True;True;0.0986;0.5920;0.0069;88.6195;31.8953;312.6940;-0.0055;-0.0022;0.0061;0.0000;True;True;-0.2138;0.9447;0.1369;9.6412;106.7087;165.1850;0.0633;0.0331;-0.2201;0.0000;-0.1865;0.9352;0.2409;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10435;0.2800;0.0208;1.1168;-0.0827;13.5822;345.8801;356.4937;True;True;0.0984;0.5915;0.0056;89.4918;313.2744;233.5774;0.0255;0.0014;-0.0050;0.0000;True;True;-0.2032;0.9330;0.0469;6.3962;106.7368;160.9675;0.3220;-0.0521;-1.3147;0.0000;-0.1786;0.9320;0.1652;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10440;0.3600;0.0202;1.1180;-0.0867;13.0077;345.0432;356.4059;True;True;0.0993;0.5924;0.0056;89.5748;209.3556;130.8813;0.0009;0.0053;-0.0017;0.0000;True;True;-0.1837;0.9077;0.0088;5.1343;105.8969;156.5656;0.2139;-0.2081;-0.2346;0.0000;-0.1603;0.9183;0.1135;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10445;0.4400;0.0184;1.1185;-0.0905;12.5727;343.8225;356.0330;True;True;0.0982;0.5951;0.0059;89.4926;112.5787;33.7063;-0.0397;0.0682;-0.0010;0.0000;True;True;-0.1761;0.8831;0.0007;8.4431;112.9544;157.0247;0.1649;-0.4655;-0.0839;0.0000;-0.1417;0.9006;0.0989;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10450;0.5200;0.0157;1.1199;-0.0954;11.9770;342.0772;355.8321;True;True;0.0970;0.5972;0.0058;89.4454;116.2192;36.9147;-0.0037;0.0113;0.0152;0.0000;True;True;-0.1531;0.8785;-0.0175;0.5293;114.6121;163.3696;0.1398;-0.0906;-0.1468;0.0000;-0.1127;0.8787;0.0800;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10460;0.6600;0.0091;1.1231;-0.1048;10.7161;338.0271;356.0005;True;True;0.0972;0.5969;0.0058;86.9537;84.5615;3.5067;0.0108;0.0032;0.0076;0.0000;True;True;-0.1484;0.8188;-0.0011;353.7710;123.1895;176.5125;0.1148;-0.4860;0.1000;0.0000;-0.0943;0.7961;0.0814;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10465;0.7400;0.0048;1.1237;-0.1089;10.5994;335.2883;355.9183;True;True;0.0977;0.5991;0.0055;84.7982;109.7311;28.4173;-0.0047;0.0310;-0.0054;0.0000;True;True;-0.1433;0.8010;0.0044;346.9575;128.6677;178.1402;0.0443;-0.2385;0.0574;0.0000;-0.0782;0.7760;0.0778;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10475;0.8800;-0.0100;1.1238;-0.1190;10.5757;325.9006;355.3150;True;True;0.0979;0.5991;0.0059;86.5433;138.6987;57.1303;0.0009;0.0051;-0.0012;0.0000;True;True;-0.1305;0.7714;0.0071;345.7815;133.4348;186.4673;0.1436;-0.0896;0.0738;0.0000;-0.0610;0.7318;0.0678;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10480;0.9400;-0.0213;1.1209;-0.1257;11.7527;318.5202;354.2393;True;True;0.0985;0.5978;0.0068;86.0151;155.5992;73.4590;0.0301;-0.0554;0.0370;0.0000;True;True;-0.1236;0.7500;0.0098;346.4329;133.0618;192.4669;0.1560;-0.6043;0.0354;0.0000;-0.0552;0.7059;0.0651;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10490;1.0800;-0.0345;1.1074;-0.1307;17.7540;312.2141;352.9462;True;True;0.1048;0.5998;0.0074;88.2020;138.8664;59.9445;0.0328;-0.0109;-0.0219;0.0000;True;True;-0.1152;0.7351;0.0027;341.5259;131.8144;191.4948;0.1518;-0.0317;0.0686;0.0000;-0.0446;0.6851;0.0572;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10500;1.2200;-0.0412;1.0999;-0.1287;20.8485;310.2788;351.7838;True;True;0.0977;0.6013;0.0050;87.9917;80.5741;4.5902;-0.0207;-0.0374;-0.0918;0.0000;True;True;-0.1113;0.7335;0.0048;340.1035;127.0695;198.0406;-0.0106;-0.0251;-0.0420;0.0000;-0.0433;0.6760;0.0591;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10510;1.3600;-0.0434;1.0940;-0.1240;22.6821;310.2523;350.4078;True;True;0.0947;0.5980;0.0015;87.5822;100.6408;20.7803;0.0508;0.0420;0.0108;0.0000;True;True;-0.1104;0.7170;0.0019;338.4536;123.7269;202.4281;0.0061;-0.0002;-0.0151;0.0000;-0.0464;0.6528;0.0530;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10520;1.5000;-0.0301;1.0924;-0.1121;24.1428;320.6004;353.8458;True;True;0.0857;0.5939;0.0023;86.6721;140.4798;64.3600;-0.2688;-0.1576;-0.0380;0.0000;True;True;-0.1135;0.7125;0.0014;336.0060;121.0593;204.0522;-0.0289;-0.0692;0.0161;0.0000;-0.0488;0.6490;0.0509;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10530;1.6400;-0.0072;1.0952;-0.1012;23.3772;335.1158;358.6099;True;True;0.1032;0.6002;0.0052;88.8207;179.5233;99.8448;-0.1971;0.0415;-0.0024;0.0000;True;True;-0.1194;0.6985;0.0111;335.9789;125.2390;203.6247;-0.0108;-0.2481;0.0572;0.0000;-0.0523;0.6361;0.0563;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10535;1.7200;0.0131;1.0991;-0.0969;22.0497;346.5356;1.0614;True;True;0.1008;0.5939;0.0065;84.0766;165.7520;81.6478;-0.0060;-0.0569;0.0459;0.0000;True;True;-0.1168;0.6936;0.0142;333.9644;125.4475;205.2521;0.0055;0.0294;0.0168;0.0000;-0.0479;0.6280;0.0563;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10540;1.8000;0.0475;1.1016;-0.0961;20.7932;5.2845;4.2517;True;True;0.1001;0.5931;0.0067;87.3037;209.1840;127.0129;-0.0154;0.0085;-0.0102;0.0000;True;True;-0.1138;0.6949;0.0173;336.7342;124.8109;209.4156;0.0445;-0.0216;0.0191;0.0000;-0.0490;0.6250;0.0563;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10550;1.9600;0.1196;1.1096;-0.1263;17.0256;42.2579;7.8724;True;True;0.1019;0.5976;0.0032;84.4587;98.4765;15.0122;0.0587;0.1733;-0.0487;0.0000;True;True;-0.1074;0.6951;0.0238;340.5607;124.1699;215.8136;0.0052;-0.0090;-0.0026;0.0000;-0.0496;0.6159;0.0577;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10555;2.0600;0.1345;1.1098;-0.1394;16.8011;48.1164;7.9176;True;True;0.1038;0.6120;-0.0017;78.0107;114.7463;29.5495;0.0030;0.0729;-0.0328;0.0000;True;True;-0.1077;0.6930;0.0235;337.3564;123.7512;216.4146;-0.0082;-0.0226;-0.0053;0.0000;-0.0480;0.6138;0.0542;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
