Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist;RPalmPosition_x;RPalmPosition_y;RPalmPosition_z;RIsPinchGrabbing;RIsPalmGrabbing;RIsAutogripGrabbing;RStrengthThumbIndex;RStrengthThumbMiddle;RStrengthThumbRing;RStrengthThumbPinky;RStrengthPalmIndex;RStrengthPalmMiddle;RStrengthPalmRing;RStrengthPalmPinky;RGrabIdentifier;RMovedCorrectly;LPalmPosition_x;LPalmPosition_y;LPalmPosition_z;LIsPinchGrabbing;LIsPalmGrabbing;LIsAutogripGrabbing;LStrengthThumbIndex;LStrengthThumbMiddle;LStrengthThumbRing;LStrengthThumbPinky;LStrengthPalmIndex;LStrengthPalmMiddle;LStrengthPalmRing;LStrengthPalmPinky;LGrabIdentifier;LMovedCorrectly;
16880;0.1000;-0.0364;1.2196;-0.0547;15.1667;358.4942;359.7133;True;True;0.0903;0.9887;0.0894;21.7415;41.0495;339.2057;0.4426;-0.6379;0.0871;0.0000;True;True;-0.4707;1.3079;-0.0775;46.1620;40.5564;47.5307;-0.0135;-0.0257;-0.0896;0.0000;-0.3949;1.3742;-0.0506;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
16885;0.2000;-0.0338;1.2189;-0.0547;15.3059;358.6296;359.8270;True;True;0.1038;0.9558;0.1082;20.5105;35.8923;330.8716;0.0478;-0.2262;0.0787;0.0000;True;True;0.0000;0.0000;0.0000;0.0000;90.0000;180.0000;23.7111;-65.3139;3.9408;0.0000;-0.4022;1.3727;-0.0461;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
16890;0.3000;-0.0326;1.2176;-0.0518;15.1478;358.1101;359.8708;True;True;0.1227;0.9379;0.1065;18.2176;40.1348;319.4754;0.7684;-0.0875;0.1487;0.0000;True;True;-0.4479;1.3099;-0.0607;54.7724;50.6634;54.1689;0.5063;0.2642;-0.1732;0.0000;-0.4022;1.3727;-0.0461;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
16900;0.4800;-0.0338;1.2106;-0.0443;18.3595;356.6420;359.8075;True;True;0.1724;0.9120;0.0837;19.9428;44.4168;313.3113;0.2770;-0.4547;-0.1666;0.0000;True;True;-0.4344;1.2792;-0.0331;58.1399;65.2176;66.2653;0.6741;-1.6460;1.7417;0.0000;-0.3692;1.3625;-0.0239;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
16910;0.6600;-0.0403;1.2063;-0.0494;21.1470;351.8514;358.3855;True;True;0.2021;0.8921;0.0499;14.8308;44.3803;301.3637;0.0365;-0.0665;-0.1569;0.0000;True;True;-0.4128;1.3045;-0.0508;48.9717;133.7189;131.7641;0.0086;-0.0163;0.0088;0.0000;-0.3235;1.3377;-0.0112;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
16915;0.7600;-0.0386;1.2024;-0.0533;23.1249;352.7172;357.8030;True;True;0.2025;0.8794;0.0416;22.3349;42.9544;299.5231;0.0373;-0.1355;-0.1015;0.0000;True;True;-0.4144;1.2976;-0.0509;52.2216;125.8556;121.9497;-0.0647;-0.1134;-0.0273;0.0000;-0.3239;1.3383;-0.0154;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
16920;0.8400;-0.0351;1.1991;-0.0579;24.9732;355.3273;358.2848;True;True;0.2143;0.8651;0.0328;28.1980;37.9431;290.6517;0.0347;-0.0464;0.0284;0.0000;True;True;-0.4164;1.2925;-0.0567;60.1025;98.3923;100.3051;-0.0048;-0.0077;-0.0682;0.0000;-0.3314;1.3370;-0.0169;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
16925;0.9400;-0.0314;1.1976;-0.0628;25.8988;357.7152;358.6003;True;True;0.2248;0.8685;0.0375;30.0311;37.3280;281.9528;0.2214;0.1413;0.1289;0.0000;True;True;-0.4206;1.2901;-0.0630;62.0794;75.0424;81.4403;0.0102;-0.0111;-0.0765;0.0000;-0.3382;1.3385;-0.0227;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
16930;1.0400;-0.0256;1.1982;-0.0688;25.8077;0.5655;359.0691;True;True;0.2181;0.8829;0.0484;22.2170;35.8792;283.9440;-0.1320;0.1135;0.0432;0.0000;True;True;-0.4130;1.2921;-0.0632;59.3343;110.5059;115.6378;0.0482;0.0067;0.0525;0.0000;-0.3305;1.3307;-0.0174;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
16935;1.1400;-0.0206;1.1987;-0.0741;25.6222;2.9804;359.8161;True;True;0.2051;0.8981;0.0555;17.9169;39.8602;288.2521;0.0186;0.0765;-0.0582;0.0000;True;True;-0.4051;1.2955;-0.0628;54.6751;123.5031;125.4574;0.0047;0.0390;0.0105;0.0000;-0.3183;1.3290;-0.0190;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
